,dtypes,%nan,count,unique,mean,std,min,25%,50%,75%,max,categories
parental_fluid,boolean,87.45704467353951,146,1,,,,,,,,True (146) | nan (1018)
parental_fluid_volume,Int64,87.37113402061856,147,60,1092.3061224489795,765.231933792955,100.0,638.0,1000.0,1000.0,5850.0,
pcr_dengue_interpretation,string,4.037800687285227,1117,3,,,,,,,,Inconclusive (47) | Lab-confirmed Dengue (816) | Presumptive Dengue (254) | nan (47)
pcr_dengue_load,Int64,93.81443298969072,72,52,161132294.875,678494348.0824579,0.0,0.0,144500.0,7728571.75,4080000000.0,
pcr_dengue_serotype,string,4.037800687285227,1117,5,,,,,,,,<LOD (321) | DENV-1 (156) | DENV-2 (155) | DENV-3 (280) | DENV-4 (205) | nan (47)
peptic_ulcer,boolean,0.0,1164,2,,,,,,,,False (1015) | True (149)
petechiae,boolean,71.90721649484536,327,2,,,,,,,,False (255) | True (72) | nan (837)
pharyngeal_injection,boolean,72.07903780068729,325,2,,,,,,,,False (285) | True (40) | nan (839)
platelets,boolean,87.2852233676976,148,2,,,,,,,,False (138) | True (10) | nan (1016)
pleural_effusion,Int64,0.25773195876288924,1161,2,0.08096468561584841,0.272898426778219,0.0,0.0,0.0,0.0,1.0,0.0 (1067) | 1.0 (94) | nan (3)
plt,Float64,71.1340206185567,336,168,103.51458333333333,99.51898999076057,9.0,39.75,72.0,123.0,687.0,
pregnant,boolean,0.0,1164,2,,,,,,,,False (1137) | True (27)
pulse,Int64,72.33676975945016,322,55,80.1304347826087,12.176853807849023,52.0,72.0,80.0,88.0,125.0,
rales_crackles,boolean,71.90721649484536,327,2,,,,,,,,False (322) | True (5) | nan (837)
rehydration,boolean,87.2852233676976,148,2,,,,,,,,False (12) | True (136) | nan (1016)
renal_disease,boolean,93.81443298969072,72,2,,,,,,,,False (71) | True (1) | nan (1092)
respiratory_distress,Int64,0.25773195876288924,1161,2,0.013781223083548665,0.11663197508676754,0.0,0.0,0.0,0.0,1.0,0.0 (1145) | 1.0 (16) | nan (3)
respiratory_rate,Int64,72.07903780068729,325,13,19.658461538461538,1.7977087876211273,15.0,18.0,20.0,20.0,28.0,
restlessness,boolean,71.90721649484536,327,2,,,,,,,,False (324) | True (3) | nan (837)
retro_pain,boolean,97.85223367697594,25,1,,,,,,,,True (25) | nan (1139)
rhinitis,boolean,71.99312714776633,326,2,,,,,,,,False (321) | True (5) | nan (838)
sbp,Int64,71.99312714776633,326,63,98.7638036809816,20.432463828497966,50.0,90.0,100.0,110.0,150.0,
serology_interpretation,string,93.81443298969072,72,3,,,,,,,,Inconclusive (31) | Probable Secondary (35) | Probable primary (6) | nan (1092)
shock,boolean,0.0,1164,2,,,,,,,,False (1143) | True (21)
shock_resucitation,boolean,87.2852233676976,148,2,,,,,,,,False (144) | True (4) | nan (1016)
skin_describe,string,98.96907216494846,12,5,,,,,,,,MACULAR (5) | MACULAR  (1) | MACULER (1) | MACULOPAPULAR (2) | RECOVERY (3) | nan (1152)
skin_flush,Int64,0.25773195876288924,1161,2,0.5391903531438416,0.49867655792517307,0.0,0.0,1.0,1.0,1.0,0.0 (535) | 1.0 (626) | nan (3)
skin_rash,Int64,0.25773195876288924,1161,2,0.2532299741602067,0.4350489346206514,0.0,0.0,0.0,1.0,1.0,0.0 (867) | 1.0 (294) | nan (3)
sore_throat,boolean,98.19587628865979,21,1,,,,,,,,True (21) | nan (1143)
spleen_palpation,boolean,72.07903780068729,325,1,,,,,,,,False (325) | nan (839)
treatment_haemorrhage,boolean,87.2852233676976,148,2,,,,,,,,False (147) | True (1) | nan (1016)
vomiting,Int64,12.714776632302403,1016,2,0.3316929133858268,0.4710532043925065,0.0,0.0,0.0,1.0,1.0,0.0 (679) | 1.0 (337) | nan (148)
vomiting_level,Int64,97.33676975945018,31,3,1.4516129032258065,0.5679618342470648,1.0,1.0,1.0,2.0,3.0,1.0 (18) | 2.0 (12) | 3.0 (1) | nan (1133)
wbc,Float64,71.1340206185567,336,92,4.8431547619047635,3.1378309153919046,0.9,3.0,4.3,5.7,41.6,
weight,Int64,0.25773195876288924,1161,32,54.70714900947459,13.797501981031516,18.0,45.0,53.0,64.0,110.0,
